GIGABYTE,GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080IXEB-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 GAMING BOX,OUT OF STOCK,$9.99 Shipping,https://www.newegg.com/GIGABYTE/BrandStore/ID-1314
MSI,MSI GeForce RTX 3080 DirectX 12 Ultimate RTX 3080 SUPRIM 10G 10GB 320-Bit GDDR6X PCI Express 4.0 HDCP Ready Video Card,OUT OF STOCK,$9.99 Shipping,https://www.newegg.com/MSI/BrandStore/ID-1312
MSI,MSI GeForce RTX 3080 DirectX 12 RTX 3080 VENTUS 3X 10G 10GB 320-Bit GDDR6X PCI Express 4.0 HDCP Ready Video Card,OUT OF STOCK,$6.99 Shipping,https://www.newegg.com/MSI/BrandStore/ID-1312
PNY Technologies, Inc.,PNY GeForce RTX 3080 10GB XLR8 Gaming REVEL EPIC-X RGB Triple Fan Graphics Card| VCG308010TFXPPB,OUT OF STOCK,$9.99 Shipping,https://www.newegg.com/PNY-Technologies-Inc/BrandStore/ID-1471
GIGABYTE,GIGABYTE GeForce RTX 3080 DirectX 12 Ultimate GV-N3080GAMING OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,OUT OF STOCK,$9.99 Shipping,https://www.newegg.com/GIGABYTE/BrandStore/ID-1314
Make is unknown,GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G Graphics Card WATERFORCE Water Block Cooling System 10GB 320-bit GDDR6X GV-N3080AORUSX WB-10GD Video Card and GIGABYTE GP-P850GM 850W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular,OUT OF STOCK,,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4214831
Make is unknown,GIGABYTE GP-P850GM 850W ATX Power Supply + GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080VISION OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,OUT OF STOCK,,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4190363
Make is unknown,GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS M-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card + GIGABYTE GP-P850GM 850W ATX Power Supply,OUT OF STOCK,,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4190361
Make is unknown,GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080EAGLE-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card and GIGABYTE GP-P850GM 850W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active (>0.9 typical) PFC Power Supply,OUT OF STOCK,,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4214829
Make is unknown,GIGABYTE GeForce RTX 3080 DirectX 12 GV-N3080GAMING OC-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card and GIGABYTE GP-P850GM 850W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active (>0.9 typical) PFC Power Supply,OUT OF STOCK,,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4214807
Make is unknown,GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS X-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card and GIGABYTE GP-P850GM 850W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active (>0.9 typical) PFC Power Supply,OUT OF STOCK,,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4214823
Make is unknown,GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUSX W-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card and GIGABYTE GP-P850GM 850W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active (>0.9 typical) PFC Power Supply,OUT OF STOCK,,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4214833
